city_name,date,pm10
Mumbai Metro,1/1/2010,142.75
Akola,1/1/2010,99
Thane,1/1/2010,50
Jalna,1/1/2010,72
Dahanu,1/1/2010,196
Sangli,1/1/2010,60
Navi Mumbai,1/1/2010,143
Latur,1/1/2010,70
Mumbai,1/1/2010,292
Amravati,1/1/2010,113
Aurangabad,1/1/2010,120
Taloja,1/1/2010,86
Solapur,1/1/2010,74
Jalgaon,1/1/2010,98
Nagpur,1/1/2010,145
Nashik,1/1/2010,94
Pune,1/1/2010,100
Kolhapur,1/1/2010,107
Chandrapur,1/1/2010,196
Raigad,1/1/2010,100
Kolhapur,1/1/2011,105
Dahanu,1/1/2011,98
Nagpur,1/1/2011,84.5
Mumbai,1/1/2011,131
Panvel,1/1/2011,150
Latur,1/1/2011,120
Solapur,1/1/2011,132
Mumbai Metro,1/1/2011,135.6
Raigad,1/1/2011,150
Aurangabad,1/1/2011,96
Nashik,1/1/2011,92
Jalgaon,1/1/2011,130
Sangli,1/1/2011,99
Navi Mumbai,1/1/2011,209
Chandrapur,1/1/2011,98
Taloja,1/1/2011,132
Amravati,1/1/2011,124
Thane,1/1/2011,56
Pune,1/1/2011,150
Navi Mumbai,1/1/2012,166
Mumbai,1/1/2012,101
Thane,1/1/2012,64
Solapur,1/1/2012,111
Mumbai Metro,1/1/2012,110.6667
Kalyan,1/1/2012,65
Ulhasnagar,1/1/2012,157
Sangli,1/1/2012,86
Nashik,1/1/2012,165
Pune,1/1/2012,171.5
Taloja,1/1/2012,111
Raigad,1/1/2012,171.5
Dahanu,1/1/2012,38
Chandrapur,1/1/2012,38
Nagpur,1/1/2013,67
Mumbai,1/1/2013,100.5
Nashik,1/1/2013,76
Kalyan,1/1/2013,64
Taloja,1/1/2013,113
Aurangabad,1/1/2013,104
Navi Mumbai,1/1/2013,150.6667
Badlapur,1/1/2013,95
Jalgaon,1/1/2013,119
Solapur,1/1/2013,91.5
Raigad,1/1/2013,97.33334
Dahanu,1/1/2013,187.75
Kolhapur,1/1/2013,192
Dombivali,1/1/2013,90.5
Jalna,1/1/2013,164
Nanded,1/1/2013,99
Amravati,1/1/2013,110
Akola,1/1/2013,135
Latur,1/1/2013,95
Thane,1/1/2013,98
Chandrapur,1/1/2013,187.75
Mumbai Metro,1/1/2013,101.6667
Pune,1/1/2013,97.33334
Raigad,1/1/2014,138.5
Taloja,1/1/2014,148
Nagpur,1/1/2014,66
Navi Mumbai,1/1/2014,35
Solapur,1/1/2014,148
Pune,1/1/2014,138.5
Mumbai Metro,1/1/2014,113
Mumbai,1/1/2014,156
Pune,1/10/2010,259
Mumbai Metro,1/10/2010,161.125
Thane,1/10/2010,51
Navi Mumbai,1/10/2010,203.5
Ulhasnagar,1/10/2010,114
Mumbai,1/10/2010,276
Sangli,1/10/2010,112
Raigad,1/10/2010,259
Latur,1/10/2011,222
Akola,1/10/2011,129
Aurangabad,1/10/2011,100
Mumbai,1/10/2011,185
Mumbai Metro,1/10/2011,167.4167
Ulhasnagar,1/10/2011,105
Nashik,1/10/2011,141
Navi Mumbai,1/10/2011,197.3333
Sangli,1/10/2011,121
Nagpur,1/10/2011,128.5
Dahanu,1/10/2011,201
Taloja,1/10/2011,182.3333
Pune,1/10/2011,209.6667
Raigad,1/10/2011,209.6667
Amravati,1/10/2011,87
Solapur,1/10/2011,140.5
Kolhapur,1/10/2011,59
Chandrapur,1/10/2011,201
Solapur,1/10/2012,113.5
Bhiwandi,1/10/2012,49
Badlapur,1/10/2012,158
Jalgaon,1/10/2012,125
Jalna,1/10/2012,113
Thane,1/10/2012,47
Taloja,1/10/2012,148.6667
Kolhapur,1/10/2012,139
Latur,1/10/2012,98
Amravati,1/10/2012,99
Navi Mumbai,1/10/2012,142
Aurangabad,1/10/2012,71
Mumbai Metro,1/10/2012,108.4444
Dahanu,1/10/2012,167
Nagpur,1/10/2012,59
Mumbai,1/10/2012,106
Chandrapur,1/10/2012,167
Nashik,1/10/2012,165.5
Pune,1/10/2012,185.3333
Akola,1/10/2012,127
Raigad,1/10/2012,185.3333
Nanded,1/10/2012,68
Solapur,1/10/2013,103
Raigad,1/10/2013,191.5
Pune,1/10/2013,191.5
Latur,1/10/2013,119
Nashik,1/10/2013,130.5
Chandrapur,1/10/2013,231.5
Nanded,1/10/2013,35
Jalgaon,1/10/2013,167
Mumbai,1/10/2013,233
Taloja,1/10/2013,98
Kolhapur,1/10/2013,77
Sangli,1/10/2013,117
Mumbai Metro,1/10/2013,120.9286
Navi Mumbai,1/10/2013,124.5
Jalna,1/10/2013,111
Thane,1/10/2013,105
Akola,1/10/2013,159
Ambernath,1/10/2013,123
Bhiwandi,1/10/2013,65
Amravati,1/10/2013,95
Nagpur,1/10/2013,77
Dahanu,1/10/2013,231.5
Badlapur,1/10/2013,98
Jalgaon,1/11/2010,110
Taloja,1/11/2010,138
Solapur,1/11/2010,42
Akola,1/11/2010,101
Amravati,1/11/2010,76
Nagpur,1/11/2010,96.5
Raigad,1/11/2010,108
Mumbai Metro,1/11/2010,158.2333
Thane,1/11/2010,48
Pune,1/11/2010,108
Kolhapur,1/11/2010,55
Latur,1/11/2010,105
Mumbai,1/11/2010,327.5
Navi Mumbai,1/11/2010,186.6667
Sangli,1/11/2010,66
Ulhasnagar,1/11/2010,91
Aurangabad,1/11/2010,85
Nashik,1/11/2010,131
Raigad,1/11/2011,215
Badlapur,1/11/2011,98
Lote,1/11/2011,293
Chandrapur,1/11/2011,180.5
Aurangabad,1/11/2011,91
Thane,1/11/2011,57
Mumbai,1/11/2011,201
Kolhapur,1/11/2011,109
Mumbai Metro,1/11/2011,137.1333
Latur,1/11/2011,105
Taloja,1/11/2011,147.3333
Akola,1/11/2011,130
Solapur,1/11/2011,121.5
Pune,1/11/2011,215
Nagpur,1/11/2011,114
Dahanu,1/11/2011,180.5
Amravati,1/11/2011,154
Nashik,1/11/2011,168.5
Navi Mumbai,1/11/2011,182.3333
Chandrapur,1/11/2012,92
Raigad,1/11/2012,190.6667
Jalgaon,1/11/2012,167
Amravati,1/11/2012,114
Latur,1/11/2012,197
Kolhapur,1/11/2012,123
Ulhasnagar,1/11/2012,142.5
Aurangabad,1/11/2012,74
Navi Mumbai,1/11/2012,179.5
Lote,1/11/2012,50
Akola,1/11/2012,140
Bhiwandi,1/11/2012,42
Dahanu,1/11/2012,92
Mumbai,1/11/2012,136
Solapur,1/11/2012,162
Pune,1/11/2012,190.6667
Taloja,1/11/2012,162
Nashik,1/11/2012,172
Thane,1/11/2012,47
Panvel,1/11/2012,158
Nagpur,1/11/2012,59
Sangli,1/11/2012,118
Mumbai Metro,1/11/2012,123.8571
Jalna,1/11/2012,129
Nanded,1/11/2012,25
Nanded,1/11/2013,62
Nagpur,1/11/2013,99.5
Jalgaon,1/11/2013,111
Navi Mumbai,1/11/2013,142.6667
Pune,1/11/2013,202
Taloja,1/11/2013,116.3333
Thane,1/11/2013,131
Mumbai Metro,1/11/2013,134.25
Mumbai,1/11/2013,229.5
Akola,1/11/2013,166
Dombivali,1/11/2013,120
Raigad,1/11/2013,202
Solapur,1/11/2013,101.5
Sangli,1/11/2013,120
Chandrapur,1/11/2013,114.5
Nashik,1/11/2013,138
Dahanu,1/11/2013,114.5
Bhiwandi,1/11/2013,66
Amravati,1/11/2013,98
Kolhapur,1/11/2013,225
Latur,1/11/2013,95
Jalna,1/11/2013,120
Latur,1/12/2010,86
Aurangabad,1/12/2010,83
Pune,1/12/2010,94
Jalgaon,1/12/2010,93
Chandrapur,1/12/2010,173.6667
Akola,1/12/2010,68
Kolhapur,1/12/2010,104
Nagpur,1/12/2010,102.5
Thane,1/12/2010,48
Nashik,1/12/2010,108
Navi Mumbai,1/12/2010,152
Jalna,1/12/2010,127
Dahanu,1/12/2010,173.6667
Taloja,1/12/2010,89
Solapur,1/12/2010,84
Mumbai,1/12/2010,205
Raigad,1/12/2010,94
Mumbai Metro,1/12/2010,123.5
Amravati,1/12/2010,118
Lote,1/12/2011,181
Latur,1/12/2011,164
Sangli,1/12/2011,207
